   31-Oct-2019 13:23:47

=============================================================================
Please enter the name of the location you are interested in: [noh][ugn][ord] 
ord

temp_table

temp_table =

  21976×12 <a href="matlab:helpPopup table" style="font-weight:bold">table</a>

    <strong>Var1</strong>        <strong>Date</strong>       <strong>max</strong>    <strong>min</strong>      <strong>mean</strong>         <strong>dewpt</strong>       <strong>windS</strong>     <strong>windD</strong>      <strong>peak</strong>      <strong>atm</strong>       <strong>sea</strong>      <strong>precip</strong>
    <strong>_____</strong>    <strong>__________</strong>    <strong>___</strong>    <strong>___</strong>    <strong>_________</strong>    <strong>_________</strong>    <strong>_______</strong>    <strong>______</strong>    <strong>______</strong>    <strong>______</strong>    <strong>______</strong>    <strong>______</strong>

        0    1958-11-01     56     45       50.042       39.375     7.5417    121.61       NaN    992.92    1015.8        0 
        1    1958-11-02     51     42       46.167       38.292     5.0833    149.21       NaN    990.56    1013.5        0 
        2    1958-11-03     61     35       47.375       37.542        8.5    221.26       NaN    991.46    1014.5        0 
        3    1958-11-04     69     42       54.958       39.083     10.042    213.96       NaN     986.2    1008.9        0 
        4    1958-11-05     57     40        50.75       38.542     18.792    242.17       NaN    981.45      1004        0 
        5    1958-11-06     49     32        40.25           22     11.667    281.46       NaN    993.33    1016.7        0 
        6    1958-11-07     54     28        43.25       23.875     10.417    198.96       NaN    992.32    1015.5        0 
        7    1958-11-08     51     41       46.458       33.208     15.625       227       NaN    979.85    1002.6     0.15 
        8    1958-11-09     50     39        43.25       28.042       15.5    275.83       NaN    978.39    1001.2        0 
        9    1958-11-10     51     34       42.125       27.375     10.542    278.63       NaN    993.52    1016.7        0 
       10    1958-11-11     62     39       49.875       30.458     12.542    231.71       NaN    995.42    1018.5        0 
       11    1958-11-12     55     44       49.417       37.667     6.5417    69.583       NaN    999.33    1022.4     0.17 
       12    1958-11-13     64     50         57.5        50.25       9.75    184.04       NaN    990.88    1013.7     0.11 
       13    1958-11-14     71     59       63.292       54.667      14.75    214.79       NaN    987.93    1010.4     0.07 
       14    1958-11-15     61     50        54.25        52.25     10.833    110.83       NaN    988.79    1011.3     0.54 
       15    1958-11-16     65     50       57.208       54.958     9.3333    138.13       NaN    993.42    1016.2     0.02 
       16    1958-11-17     72     62       66.583       62.708     16.083    185.75       NaN    986.37    1008.8     0.02 
       17    1958-11-18     55     37       42.583       31.083     21.125     237.5       NaN    987.06    1009.9     0.03 
       18    1958-11-19     51     34       41.042       30.125     13.125    242.13       NaN    993.08    1016.4        0 
       19    1958-11-20     52     36       43.875       31.292         13    268.29       NaN    995.75    1018.9        0 
       20    1958-11-21     45     32       39.167       27.208          7       199       NaN    996.13    1019.5        0 
       21    1958-11-22     48     34       41.208       30.417        8.5    197.96       NaN    998.56    1021.9        0 
       22    1958-11-23     59     38       46.125       35.917     11.917    164.29       NaN    992.78    1015.9        0 
       23    1958-11-24     43     37       39.875         30.5     10.667    73.375       NaN      1001    1024.3     0.14 
       24    1958-11-25     47     30       39.125       34.542     16.375     191.5       NaN    991.31    1014.6     0.26 
       25    1958-11-26     28     18       22.875        12.25     22.583    280.46       NaN    995.77    1019.5        0 
       26    1958-11-27     26     14       20.167       10.792     8.0833    269.33       NaN    1002.7    1026.7        0 
       27    1958-11-28     24     18       20.875       15.708     11.083    281.38       NaN    995.96    1019.7     0.07 
       28    1958-11-29     23      5       15.333       4.2917     18.583    295.58       NaN    1001.8    1025.8        0 
       29    1958-11-30     21      2       12.583      0.20833     12.458    236.91       NaN    1011.1    1035.8        0 
       30    1958-12-01     31     17       23.833       16.917     8.4583    260.88       NaN      1002      1026        0 
       31    1958-12-02     36     21       28.208           24     10.542     206.5       NaN    997.52    1021.4        0 
       32    1958-12-03     38     32        35.25       33.083     11.083    221.58       NaN     980.4    1003.4        0 
       33    1958-12-04     41     31       36.167       24.333     14.958    273.04       NaN    977.08      1000        0 
       34    1958-12-05     30     13       19.708         5.25     19.792       288       NaN    990.38      1014        0 
       35    1958-12-06     17      6       11.458      -1.1667         18    297.42       NaN    1005.4    1029.7        0 
       36    1958-12-07     14      8       11.625       4.5417      9.875    277.71       NaN    1005.8    1030.2     0.05 
       37    1958-12-08     14      2       10.417       6.5833     8.7917    310.54       NaN    998.89    1023.1     0.21 
       38    1958-12-09      3     -7      -2.5417      -8.9167     12.458    274.88       NaN      1007    1031.9        0 
       39    1958-12-10     14     -6          4.5      -1.9167     7.2083    242.13       NaN    1009.4    1034.2        0 
       40    1958-12-11     21      9       15.542       11.208        7.5    248.71       NaN    999.44    1023.5     0.07 
       41    1958-12-12     14      5       9.2083        4.125     12.292    307.63       NaN    997.11    1021.3     0.04 
       42    1958-12-13     17     -2       5.4167     -0.95833      7.625    278.63       NaN    1007.8    1032.4        0 
       43    1958-12-14     15     -1         5.25    -0.041667     11.917    255.25       NaN    1005.6    1030.2     0.02 
       44    1958-12-15     15     -7       4.4167      -1.8333     12.333    251.54       NaN    1004.8    1029.4        0 
       45    1958-12-16     36      9       21.667       14.917     12.958    228.96       NaN    996.82    1020.8        0 
       46    1958-12-17     37     17       24.042       17.167     13.375    280.54       NaN       997    1020.7        0 
       47    1958-12-18     38     18       28.083        21.75     10.417    238.29       NaN    993.38    1017.1        0 
       48    1958-12-19     41     17       31.375       25.375     15.542       229       NaN    989.21    1012.5        0 
       49    1958-12-20     23     13       17.542       11.708     10.125    282.29       NaN    1003.5    1027.6        0 
       50    1958-12-21     25     15       20.167       14.125       5.75    191.54       NaN    1005.4    1029.5     0.01 
       51    1958-12-22     46     23       33.083       26.042      9.625    191.46       NaN    994.96    1018.6        0 
       52    1958-12-23     41     29        34.75       28.708     10.208    308.67       NaN    991.23    1014.5        0 
       53    1958-12-24     30     26       27.625       17.542     12.125    284.25       NaN    999.83    1023.6        0 
       54    1958-12-25     37     27       30.583       23.083          8     174.3       NaN    1005.4    1029.1        0 
       55    1958-12-26     38     26       31.375       22.417     11.792    188.71       NaN    1001.4    1025.1        0 
       56    1958-12-27     46     35         38.5       30.458     10.292    225.17       NaN     995.5    1018.9     0.02 
       57    1958-12-28     51     30       39.125       30.667     7.2917    173.67       NaN     997.1    1020.5        0 
       58    1958-12-29     41     31       35.833       32.083     11.083    181.25       NaN    1002.2    1025.8        0 
       59    1958-12-30     31     24       27.583       18.125     13.375        78       NaN    1010.4    1034.3        0 
       60    1958-12-31     31     24       26.458       22.083      8.125     88.25       NaN    1001.3    1025.1     0.15 
       61    1959-01-01     34     27       31.375       29.208     10.875    176.46       NaN    981.43    1004.6     0.14 
       62    1959-01-02     36     24       31.042       26.792       9.75    228.04       NaN    983.35    1006.7        0 
       63    1959-01-03     27      2       9.6667       6.2083     16.292    330.33       NaN    990.76    1014.6     0.18 
       64    1959-01-04      1     -7      -2.8333       -11.75     16.583    301.04       NaN    1001.6    1026.3     0.04 
       65    1959-01-05      9    -10     0.041667       -8.125     10.958    255.17       NaN    1011.1    1036.2        0 
       66    1959-01-06     22      3        13.75         6.75      9.125    180.25       NaN    1003.2    1027.6        0 
       67    1959-01-07     30     22       26.458         20.5     6.7917    83.091       NaN    998.28      1022        0 
       68    1959-01-08     27     15        23.25       16.583     11.917    188.67       NaN    1004.9    1028.9        0 
       69    1959-01-09     22     10       15.708        9.875     11.292    318.88       NaN    1007.5    1031.7        0 
       70    1959-01-10     26      8       16.583       8.5833     6.7083    302.08       NaN    1006.3    1030.6        0 
       71    1959-01-11     35     16       25.417        16.75     6.7917    161.21       NaN    1005.8    1029.9        0 
       72    1959-01-12     36     25       31.042       25.625      9.625    233.58       NaN    998.92    1022.6        0 
       73    1959-01-13     41     24       33.458       28.083     6.4583    192.87       NaN    997.61    1021.2        0 
       74    1959-01-14     42     34       39.292       37.792     8.0833    251.54       NaN    986.72    1009.8        0 
       75    1959-01-15     35      3       22.917       15.917     17.708    321.75       NaN     987.8    1011.2        0 
       76    1959-01-16     13      2        7.625      -1.7083     19.958    307.67       NaN    986.62    1010.6        0 
       77    1959-01-17     12     -1       5.0417      -5.1667       14.5    290.75       NaN    991.38    1015.6        0 
       78    1959-01-18     26      0       12.083       2.0833     14.208    226.08       NaN    990.79    1014.9     0.08 
       79    1959-01-19     32     14         22.5       15.958     10.917    284.78       NaN    988.14    1011.8     0.19 
       80    1959-01-20     28     11       22.042       17.583     9.7083    103.05       NaN    991.42    1015.1      0.5 
       81    1959-01-21     29      9       23.208       21.292     19.167    178.29       NaN    977.85    1001.1     0.53 
       82    1959-01-22     10     -3        3.625       -4.625     17.542    261.83       NaN    994.36    1018.7     0.01 
       83    1959-01-23      6     -9     -0.79167      -9.4583     11.125    257.04       NaN    1006.3    1031.1        0 
       84    1959-01-24     39      7           25       19.792     10.417    215.83       NaN     995.8    1019.8        0 
