Date,Time,Temp (F),Dewpt (F),Wind Spd (mph),Wind Direction (deg),Peak Wind Gust(mph),Atm Press (hPa),Sea Lev Press (hPa),Precip (in)
2011-01-01,00:52,41,27,10,240,21,979.20,1005.60,0.00
2011-01-01,01:52,39,30,8,260,m,979.80,1006.40,0.00
2011-01-01,02:52,37,23,15,240,25,979.80,1006.30,0.00
2011-01-01,03:52,33,24,10,230,18,979.80,1006.70,0.00
2011-01-01,04:52,31,22,14,230,23,979.80,1006.70,0.00
2011-01-01,05:52,29,20,14,230,30,980.50,1007.70,0.00
2011-01-01,06:52,27,18,13,230,21,981.20,1008.10,0.00
2011-01-01,07:52,25,12,13,250,28,981.50,1008.50,0.00
2011-01-01,08:52,22,10,18,230,31,983.50,1010.50,0.00
2011-01-01,09:52,20,7,23,230,32,984.50,1011.70,0.00
2011-01-01,10:52,19,5,24,220,36,984.50,1011.90,0.00
2011-01-01,11:52,19,4,23,230,37,984.20,1011.70,0.00
2011-01-01,12:52,20,4,14,260,29,984.50,1012.00,0.00
2011-01-01,13:52,18,3,16,240,32,984.80,1012.40,0.00
2011-01-01,14:52,19,3,16,260,28,985.50,1013.40,0.00
2011-01-01,15:52,18,3,11,250,28,986.50,1014.50,0.00
2011-01-01,16:52,17,3,11,240,24,988.10,1016.00,0.00
2011-01-01,17:52,16,1,15,240,26,989.10,1017.30,0.00
2011-01-01,18:52,15,-0,13,260,22,989.80,1018.20,0.00
2011-01-01,19:52,14,1,11,250,25,989.80,1018.30,0.00
2011-01-01,20:52,15,2,11,260,23,990.50,1019.00,0.00
2011-01-01,21:52,13,1,10,260,22,990.80,1019.40,0.00
2011-01-01,22:52,13,1,11,250,23,991.40,1020.20,0.00
2011-01-01,23:52,13,2,8,260,20,991.40,1020.10,0.00
2011-01-02,00:52,12,3,7,M,m,991.40,1019.90,0.00
2011-01-02,01:52,12,3,7,M,18,992.10,1020.80,0.00
2011-01-02,02:52,12,3,7,260,18,992.40,1021.20,0.00
2011-01-02,03:52,12,3,7,250,m,992.80,1021.50,0.00
2011-01-02,04:52,12,3,6,M,m,992.80,1021.60,0.00
2011-01-02,05:52,12,3,7,250,m,993.10,1022.10,0.00
2011-01-02,06:52,12,4,5,M,m,993.80,1022.70,0.00
2011-01-02,07:52,12,4,7,240,m,994.10,1023.20,0.00
2011-01-02,08:52,15,5,10,230,18,994.80,1023.50,0.00
2011-01-02,09:52,17,5,11,230,18,994.80,1023.60,0.00
2011-01-02,10:52,20,6,13,230,20,994.40,1023.20,0.00
2011-01-02,11:52,23,3,10,240,20,993.80,1022.40,0.00
2011-01-02,12:52,24,2,10,260,22,993.40,1022.10,0.00
2011-01-02,13:52,24,4,16,230,22,993.10,1021.70,0.00
2011-01-02,14:52,24,4,16,220,22,993.10,1021.80,0.00
2011-01-02,15:52,24,5,13,230,18,993.40,1022.00,0.00
2011-01-02,16:52,21,6,9,220,m,993.40,1022.30,0.00
2011-01-02,17:52,19,8,7,210,m,993.80,1022.60,0.00
2011-01-02,18:52,20,8,7,190,m,993.80,1022.50,0.00
2011-01-02,19:52,20,9,7,190,m,993.40,1022.20,0.00
2011-01-02,20:52,21,10,9,190,m,993.40,1021.90,0.00
2011-01-02,21:52,22,12,9,200,m,992.80,1021.30,0.00
2011-01-02,22:52,22,13,8,210,m,992.80,1021.00,0.00
2011-01-02,23:52,21,13,8,210,m,992.10,1020.30,0.00
2011-01-03,00:52,22,14,8,210,m,991.40,1019.80,0.00
2011-01-03,01:52,21,13,9,210,m,991.40,1019.80,0.00
2011-01-03,02:52,19,13,6,210,m,991.40,1019.60,0.00
2011-01-03,03:52,20,13,8,210,m,990.80,1019.00,0.00
2011-01-03,04:52,19,13,8,220,m,990.50,1018.90,0.00
2011-01-03,05:52,20,13,9,220,m,990.50,1018.90,0.00
2011-01-03,06:52,22,14,8,230,m,990.50,1018.90,0.00
2011-01-03,07:52,23,14,9,230,16,990.80,1018.90,0.00
2011-01-03,08:52,25,15,6,240,m,990.80,1019.00,0.00
2011-01-03,09:52,27,16,7,230,m,991.40,1019.60,0.00
2011-01-03,10:52,31,17,13,220,m,991.10,1019.20,0.00
2011-01-03,11:52,34,17,9,230,m,990.50,1018.20,0.00
2011-01-03,12:52,35,18,9,230,20,989.50,1017.10,0.00
2011-01-03,13:52,35,18,14,220,m,989.10,1016.90,0.00
2011-01-03,14:52,35,19,13,220,18,988.80,1016.70,0.00
2011-01-03,15:52,34,20,8,230,m,989.10,1017.00,0.00
2011-01-03,16:52,34,20,7,240,m,989.10,1017.20,0.00
2011-01-03,17:52,30,21,8,220,m,988.80,1016.70,0.00
2011-01-03,18:52,28,20,0,0,m,988.50,1016.70,0.00
2011-01-03,19:52,30,21,5,230,m,988.10,1016.00,0.00
2011-01-03,20:52,32,22,3,M,m,988.10,1015.80,0.00
2011-01-03,21:52,30,24,3,300,m,987.50,1015.10,0.00
2011-01-03,22:52,29,24,0,0,m,986.80,1014.40,0.00
2011-01-03,23:52,29,24,0,0,m,986.10,1013.80,0.00
2011-01-04,00:52,28,23,5,230,m,985.80,1013.30,0.00
2011-01-04,01:52,27,21,3,240,m,985.10,1012.90,0.00
2011-01-04,02:52,28,21,6,240,m,984.80,1012.40,0.00
2011-01-04,03:52,28,20,6,250,m,984.50,1011.90,0.00
2011-01-04,04:52,27,19,7,270,m,984.50,1012.00,0.00
2011-01-04,05:52,26,18,6,270,m,984.80,1012.70,0.00
2011-01-04,06:52,25,16,8,270,18,985.50,1013.30,0.00
2011-01-04,07:52,24,16,9,270,18,986.10,1013.90,0.00
2011-01-04,08:50,23,16,7,270,m,986.80,M,m
2011-01-04,09:52,20,13,7,280,16,987.80,1015.90,0.00
2011-01-04,10:52,21,12,9,280,18,988.10,1016.10,0.00
2011-01-04,11:52,23,12,10,270,18,987.50,1015.40,0.00
2011-01-04,12:52,23,12,11,290,20,988.10,1015.90,0.00
2011-01-04,13:52,23,12,8,270,m,988.50,1016.50,0.00
2011-01-04,14:52,22,10,10,280,m,989.10,1017.30,0.00
2011-01-04,15:52,20,9,10,270,16,989.50,1017.40,0.00
2011-01-04,16:52,17,8,6,M,m,989.80,1018.20,0.00
2011-01-04,17:52,16,7,6,260,m,990.50,1018.70,0.00
2011-01-04,18:52,15,7,5,250,m,990.80,1019.20,0.00
2011-01-04,19:52,15,6,7,270,m,991.10,1019.40,0.00
2011-01-04,20:52,14,5,6,M,m,991.10,1019.70,0.00
2011-01-04,21:52,13,4,8,270,m,991.10,1019.60,0.00
2011-01-04,22:52,12,4,3,270,m,990.80,1019.40,0.00
2011-01-04,23:52,11,3,0,0,m,990.50,1019.10,0.00
2011-01-05,00:52,9,3,0,0,m,990.50,1019.00,0.00
2011-01-05,01:52,9,3,3,M,m,990.10,1018.80,0.00
2011-01-05,02:52,9,2,0,0,m,990.10,1018.60,0.00
2011-01-05,03:52,8,2,3,250,m,990.10,1018.80,0.00
