Date,lake depth
2017-04-13,176.66
2017-04-14,176.66
2017-04-15,176.66
2017-04-16,176.66
2017-04-17,176.66
2017-04-18,176.66
2017-04-19,176.66
2017-04-20,176.66
2017-04-21,176.66
2017-04-22,176.66
2017-04-23,176.66
2017-04-24,176.66
2017-04-25,176.66
2017-04-26,176.66
2017-04-27,176.66
2017-04-28,176.66
2017-04-29,176.66
2017-04-30,176.66
2017-05-01,176.8
2017-05-02,176.8
2017-05-03,176.8
2017-05-04,176.8
2017-05-05,176.8
2017-05-06,176.8
2017-05-07,176.8
2017-05-08,176.8
2017-05-09,176.8
2017-05-10,176.8
2017-05-11,176.8
2017-05-12,176.8
2017-05-13,176.8
2017-05-14,176.8
2017-05-15,176.8
2017-05-16,176.8
2017-05-17,176.8
2017-05-18,176.8
2017-05-19,176.8
2017-05-20,176.8
2017-05-21,176.8
2017-05-22,176.8
2017-05-23,176.8
2017-05-24,176.8
2017-05-25,176.8
2017-05-26,176.8
2017-05-27,176.8
2017-05-28,176.8
2017-05-29,176.8
2017-05-30,176.8
2017-05-31,176.8
2017-06-01,176.88
2017-06-02,176.88
2017-06-03,176.88
2017-06-04,176.88
2017-06-05,176.88
2017-06-06,176.88
2017-06-07,176.88
2017-06-08,176.88
2017-06-09,176.88
2017-06-10,176.88
2017-06-11,176.88
2017-06-12,176.88
2017-06-13,176.88
2017-06-14,176.88
2017-06-15,176.88
2017-06-16,176.88
2017-06-17,176.88
2017-06-18,176.88
2017-06-19,176.88
2017-06-20,176.88
2017-06-21,176.88
2017-06-22,176.88
2017-06-23,176.88
2017-06-24,176.88
2017-06-25,176.88
2017-06-26,176.88
2017-06-27,176.88
2017-06-28,176.88
2017-06-29,176.88
2017-06-30,176.88
2017-07-01,176.99
2017-07-02,176.99
2017-07-03,176.99
2017-07-04,176.99
2017-07-05,176.99
2017-07-06,176.99
2017-07-07,176.99
2017-07-08,176.99
2017-07-09,176.99
2017-07-10,176.99
2017-07-11,176.99
2017-07-12,176.99
2017-07-13,176.99
2017-07-14,176.99
2017-07-15,176.99
2017-07-16,176.99
2017-07-17,176.99
2017-07-18,176.99
2017-07-19,176.99
2017-07-20,176.99
2017-07-21,176.99
2017-07-22,176.99
2017-07-23,176.99
2017-07-24,176.99
2017-07-25,176.99
2017-07-26,176.99
2017-07-27,176.99
2017-07-28,176.99
2017-07-29,176.99
2017-07-30,176.99
2017-07-31,176.99
2017-08-01,177.0
2017-08-02,177.0
2017-08-03,177.0
2017-08-04,177.0
2017-08-05,177.0
2017-08-06,177.0
2017-08-07,177.0
2017-08-08,177.0
2017-08-09,177.0
2017-08-10,177.0
2017-08-11,177.0
2017-08-12,177.0
2017-08-13,177.0
2017-08-14,177.0
2017-08-15,177.0
2017-08-16,177.0
2017-08-17,177.0
2017-08-18,177.0
2017-08-19,177.0
2017-08-20,177.0
2017-08-21,177.0
2017-08-22,177.0
2017-08-23,177.0
2017-08-24,177.0
2017-08-25,177.0
2017-08-26,177.0
2017-08-27,177.0
2017-08-28,177.0
2017-08-29,177.0
2017-08-30,177.0
2017-08-31,177.0
2017-09-01,176.93
2017-09-02,176.93
2017-09-03,176.93
2017-09-04,176.93
2017-09-05,176.93
2017-09-06,176.93
2017-09-07,176.93
2017-09-08,176.93
2017-09-09,176.93
2017-09-10,176.93
2017-09-11,176.93
2017-09-12,176.93
2017-09-13,176.93
2017-09-14,176.93
2017-09-15,176.93
2017-09-16,176.93
2017-09-17,176.93
2017-09-18,176.93
2017-09-19,176.93
2017-09-20,176.93
2017-09-21,176.93
2017-09-22,176.93
2017-09-23,176.93
2017-09-24,176.93
2017-09-25,176.93
2017-09-26,176.93
2017-09-27,176.93
2017-09-28,176.93
2017-09-29,176.93
2017-09-30,176.93
2017-10-01,176.87
2017-10-02,176.87
2017-10-03,176.87
2017-10-04,176.87
2017-10-05,176.87
2017-10-06,176.87
2017-10-07,176.87
2017-10-08,176.87
2017-10-09,176.87
2017-10-10,176.87
2017-10-11,176.87
2017-10-12,176.87
2017-10-13,176.87
2017-10-14,176.87
2017-10-15,176.87
2017-10-16,176.87
