,AnnAvg,DUGN,ORD,UGN
1/1/1923,176.2641667,0.091136,,
1/1/1924,176.1866667,0.091136,,
1/1/1925,175.9191667,0.091136,,
1/1/1926,175.885,0.091136,,
1/1/1927,176.1483333,0.091136,,
1/1/1928,176.4433333,0.091136,,
1/1/1929,176.8958333,0.091136,,
1/1/1930,176.6508333,0.091136,,
1/1/1931,176.1183333,0.091136,,
1/1/1932,175.9408333,0.091136,,
1/1/1933,175.8675,0.091136,,
1/1/1934,175.7666667,0.091136,,
1/1/1935,175.8908333,0.091136,,
1/1/1936,175.9391667,0.091136,,
1/1/1937,175.9225,0.091136,,
1/1/1938,176.1408333,0.091136,,
1/1/1939,176.2691667,0.091136,,
8/1/1939,,0.091136,,
8/2/1939,,48.76152028,,
1/1/1940,176.1416667,48.76152028,,
1/1/1941,176.1216667,48.76152028,,
1/1/1942,176.3341667,48.76152028,,
1/1/1943,176.6266667,48.76152028,,
1/1/1944,176.5966667,48.76152028,,
1/1/1945,176.57,48.76152028,,
1/1/1946,176.6016667,48.76152028,,
7/14/1946,,48.76152028,,
7/15/1946,,48.93698416,,
1/1/1947,176.5666667,48.93698416,,
1/1/1948,176.5308333,48.93698416,,
1/1/1949,176.2108333,48.93698416,,
1/1/1950,176.2608333,48.93698416,,
1/1/1951,176.7358333,48.93698416,,
1/1/1952,177.085,48.93698416,,
1/1/1953,176.9333333,48.93698416,,
1/1/1954,176.8291667,48.93698416,,
1/1/1955,176.7225,48.93698416,,
1/1/1956,176.44,48.93698416,,
1/1/1957,176.2633333,48.93698416,,
1/1/1958,176.0675,48.93698416,,
10/31/1958,,48.93698416,,
11/1/1958,,45.10624315,47.45992,
1/1/1959,176.0058333,45.10624315,47.45992,
1/1/1960,176.4775,45.10624315,47.45992,
1/1/1961,176.3766667,45.10624315,47.45992,
5/1/1961,,45.10624315,47.45992,
5/2/1961,,48.28787879,51.13052,
1/1/1962,176.2225,48.28787879,51.13052,
1/1/1963,175.9225,48.28787879,51.13052,
1/1/1964,175.6825,48.28787879,51.13052,
1/1/1965,175.9158333,48.28787879,51.13052,
1/1/1966,176.1608333,48.28787879,51.13052,
1/1/1967,176.3008333,48.28787879,51.13052,
1/1/1968,176.4466667,48.28787879,51.13052,
1/1/1969,176.6958333,48.28787879,51.13052,
1/1/1970,176.6783333,48.28787879,51.13052,
1/1/1971,176.805,48.28787879,51.13052,
1/1/1972,176.8883333,48.28787879,51.13052,
1/1/1973,177.1233333,48.28787879,51.13052,
1/1/1974,177.0933333,48.28787879,51.13052,
10/10/1974,,48.28787879,51.13052,
10/11/1974,,46.60225531,50.0056,
1/1/1975,176.9733333,46.60225531,50.0056,
1/1/1976,176.8991667,46.60225531,50.0056,
1/1/1977,176.505,46.60225531,50.0056,
1/1/1978,176.5908333,46.60225531,50.0056,
1/1/1979,176.7941667,46.60225531,50.0056,
1/1/1980,176.8033333,46.60225531,50.0056,
1/1/1981,176.6983333,46.60225531,50.0056,
1/1/1982,176.5983333,46.60225531,50.0056,
1/1/1983,176.8333333,46.60225531,50.0056,
1/1/1984,176.895,46.60225531,50.0056,
1/1/1985,177.1266667,46.60225531,50.0056,
1/1/1986,177.2925,46.60225531,50.0056,
1/1/1987,176.97,46.60225531,50.0056,
1/1/1988,176.5641667,46.60225531,50.0056,
1/1/1989,176.4008333,46.60225531,50.0056,
4/20/1989,,46.60225531,50.0056,
4/21/1989,,47.49654112,50.0056,49.89633
1/1/1990,176.35,47.49654112,50.0056,49.89633
1/1/1991,176.4691667,47.49654112,50.0056,49.89633
1/1/1992,176.4791667,47.49654112,50.0056,49.89633
1/1/1993,176.6958333,47.49654112,50.0056,49.89633
5/1/1993,,47.49654112,50.0056,49.89633
5/2/1993,,46.24551387,51.70853,48.96907
1/1/1994,176.6783333,46.24551387,51.70853,48.96907
1/1/1995,176.5275,46.24551387,51.70853,48.96907
1/1/1996,176.6541667,46.24551387,51.70853,48.96907
1/1/1997,176.9841667,46.24551387,51.70853,48.96907
4/1/1997,,46.24551387,51.70853,48.96907
4/2/1997,,49.97374062,53.21002,40.74364
1/1/1998,176.7166667,49.97374062,53.21002,40.74364
1/1/1999,176.2358333,49.97374062,53.21002,40.74364
1/1/2000,175.9783333,49.97374062,53.21002,40.74364
4/22/2000,,49.63905325,53.21002,40.74364
4/23/2000,,49.63905325,52.30916,49.61684
1/1/2001,175.9508333,49.63905325,52.30916,49.61684
1/1/2002,176.1183333,49.63905325,52.30916,49.61684
4/26/2002,,49.63905325,52.30916,49.61684
4/27/2002,,62.57575758,68.47755,64.0606
7/31/2002,,62.57575758,68.47755,64.0606
8/1/2002,,,48.41615,45.26971
1/1/2003,175.8916667,,48.41615,45.26971
1/1/2004,176.1108333,,48.41615,45.26971
4/5/2004,,,48.41615,45.26971
4/6/2004,,,51.90538,48.40223
1/1/2005,176.09,,51.90538,48.40223
4/9/2005,,,51.90538,48.40223
4/10/2005,,,55.73726,50.17277
1/1/2006,176.0158333,,55.73726,50.17277
4/26/2006,,,55.73726,50.17277
4/27/2006,,,52.22786,48.63836
1/1/2007,175.9433333,,52.22786,48.63836
5/7/2007,,,52.22786,48.63836
5/8/2007,,,56.26457,52.94489
1/1/2008,176.005,,56.26457,52.94489
8/31/2008,,,56.26457,52.94489
9/1/2008,,,42.34938,39.2859
1/1/2009,176.2583333,,42.34938,39.2859
5/26/2009,,,42.34938,39.2859
5/27/2009,,,50.14011,47.55783
1/1/2010,176.1108333,,50.14011,47.55783
4/18/2010,,,50.14011,47.55783
4/19/2010,,,53.27159,50.19093
1/1/2011,176.0366,,53.27159,50.19093
1/1/2012,175.9158,,53.27159,50.19093
5/13/2012,,,53.27159,50.19093
5/14/2012,,,50.89793,47.08058
1/1/2013,175.9,,50.89793,47.08058
1/1/2014,176.3016667,,50.89793,47.08058
4/26/2014,,,50.89793,47.08058
4/27/2014,,,53.54961,48.9304
1/1/2015,176.59,,53.54961,48.9304
1/1/2016,,,53.54961,48.9304
1/1/2017,,,53.54961,48.9304
4/12/2017,,,53.54961,48.9304
4/13/2017,,,55.21062,51.38809
12/31/2018,,,55.21062,51.38809
,,,,
